genome	true_class	top_class	top_p	0	1	2	3	4	5	6	7
G000010305	7	6.0	0.5122931599617004	0.0023784267250448465	0.12966026365756989	0.06251414120197296	0.001632850500755012	0.10176204144954681	0.03459741920232773	0.5122931599617004	0.15516173839569092
G000375825	5	4.0	0.2527964115142822	0.036592938005924225	0.06229642406105995	0.178765669465065	0.05170222371816635	0.2527964115142822	0.23230189085006714	0.07495502382516861	0.11058951169252396
G001824635	1	1.0	0.3014356791973114	0.01582985930144787	0.3014356791973114	0.12100793421268463	0.03234808146953583	0.17627443373203278	0.03916485607624054	0.1682947725057602	0.14564430713653564
G000757725	3	2.0	0.2256881594657898	0.0991104319691658	0.09188304841518402	0.2256881594657898	0.17943334579467773	0.22328582406044006	0.04051031172275543	0.06942388415336609	0.07066501677036285
G900142455	7	6.0	0.3254115581512451	0.040419451892375946	0.16494330763816833	0.06742366403341293	0.00782261323183775	0.03909311443567276	0.08802703022956848	0.3254115581512451	0.2668593227863312
G900109895	3	4.0	0.4073546826839447	0.012006684206426144	0.04570337384939194	0.28809854388237	0.166348397731781	0.4073546826839447	0.019132491201162338	0.03097047470510006	0.030385248363018036
G001796065	0	0.0	0.8136870265007019	0.8136870265007019	0.03315679728984833	0.007636011578142643	0.0007657057140022516	0.01024082861840725	0.01584009826183319	0.07489285618066788	0.043780554085969925
G002010635	7	7.0	0.5905245542526245	0.09358764439821243	0.08810744434595108	0.039928555488586426	0.011415844783186913	0.036795616149902344	0.09850060939788818	0.041139665991067886	0.5905245542526245
G000701505	2	4.0	0.4227091670036316	0.013488488271832466	0.0370483323931694	0.34382960200309753	0.03872356191277504	0.4227091670036316	0.033331241458654404	0.06762909144163132	0.04324060678482056
G900142505	7	6.0	0.24361205101013184	0.0332309864461422	0.1131107285618782	0.2279966026544571	0.015768934041261673	0.14629203081130981	0.046220920979976654	0.24361205101013184	0.1737678050994873
G001778315	1	7.0	0.3818579316139221	0.05057166516780853	0.22785678505897522	0.04027373716235161	0.03454797714948654	0.1348465532064438	0.08300504088401794	0.04704033583402634	0.3818579316139221
G000165715	1	6.0	0.36239951848983765	0.005249841138720512	0.30357515811920166	0.08437540382146835	0.003409446682780981	0.11193248629570007	0.08074802160263062	0.36239951848983765	0.04831023886799812
G001872685	5	4.0	0.2781125605106354	0.006692382041364908	0.09005236625671387	0.2603214979171753	0.01939464919269085	0.2781125605106354	0.13416951894760132	0.17022621631622314	0.04103075712919235
G900114995	4	4.0	0.8259812593460083	0.005260174628347158	0.01469357404857874	0.08003507554531097	0.035819973796606064	0.8259812593460083	0.010124613530933857	0.016676325350999832	0.01140894927084446
G001828535	1	1.0	0.2614051103591919	0.07143093645572662	0.2614051103591919	0.10725454241037369	0.05405556783080101	0.18905805051326752	0.07887392491102219	0.09397570788860321	0.14394614100456238
G001800635	7	7.0	0.4510042071342468	0.01666780188679695	0.0939713642001152	0.03962801396846771	0.08080694079399109	0.11032268404960632	0.18378059566020966	0.023818304762244225	0.4510042071342468
G001577135	7	5.0	0.18344715237617493	0.10456668585538864	0.057838670909404755	0.16197533905506134	0.09733974933624268	0.18269413709640503	0.18344715237617493	0.03711521252989769	0.17502306401729584
G001780825	7	6.0	0.3177521824836731	0.0038506141863763332	0.15986943244934082	0.0667140781879425	0.004168977960944176	0.13714025914669037	0.03845054656267166	0.3177521824836731	0.27205389738082886
G001576985	5	4.0	0.2946631908416748	0.028777429834008217	0.07753623276948929	0.2757966220378876	0.05425986275076866	0.2946631908416748	0.12046253681182861	0.09666508436203003	0.051839008927345276
G000315095	1	4.0	0.28977012634277344	0.05159235745668411	0.18110665678977966	0.08216382563114166	0.06449143588542938	0.28977012634277344	0.07431592047214508	0.08832883834838867	0.16823095083236694
G001896965	4	4.0	0.5662093758583069	0.010441824793815613	0.04357192665338516	0.14761894941329956	0.10468584299087524	0.5662093758583069	0.03828781470656395	0.030175598338246346	0.059008579701185226
G900103545	3	4.0	0.42519786953926086	0.029526231810450554	0.04917001724243164	0.19087964296340942	0.15280219912528992	0.42519786953926086	0.06792989373207092	0.03336844593286514	0.05112568289041519
G001642915	1	1.0	0.4706179201602936	0.0021903174929320812	0.4706179201602936	0.08498984575271606	0.0031317933462560177	0.052933476865291595	0.036336228251457214	0.3051074743270874	0.04469285532832146
G000474745	7	4.0	0.30017316341400146	0.12950251996517181	0.09539111703634262	0.10272560268640518	0.011690158396959305	0.30017316341400146	0.05413667857646942	0.1390848606824875	0.16729600727558136
G001304015	5	6.0	0.3352901339530945	0.051318343728780746	0.19635461270809174	0.17514227330684662	0.006490340456366539	0.08171189576387405	0.06845033168792725	0.3352901339530945	0.08524206280708313
G000374085	2	2.0	0.6803977489471436	0.0015258018393069506	0.023647159337997437	0.6803977489471436	0.02151060849428177	0.22357718646526337	0.008285552263259888	0.02887597866356373	0.012180030345916748
G000325705	2	2.0	0.5466903448104858	0.023497547954320908	0.053282059729099274	0.5466903448104858	0.046630099415779114	0.1922212541103363	0.028523333370685577	0.0806238129734993	0.02853151597082615
G001304155	5	2.0	0.18853235244750977	0.14585980772972107	0.1572830080986023	0.18853235244750977	0.01622834987938404	0.07810691744089127	0.14286653697490692	0.1802404820919037	0.09088243544101715
G001799975	7	6.0	0.5628914833068848	0.00944890733808279	0.12677764892578125	0.043062008917331696	0.0019801962189376354	0.03117387369275093	0.035008035600185394	0.5628914833068848	0.18965782225131989
G900129725	2	2.0	0.2583145499229431	0.017062392085790634	0.11432366818189621	0.2583145499229431	0.015528478659689426	0.21913644671440125	0.05046265572309494	0.24383823573589325	0.0813336968421936
G001799565	7	7.0	0.5785328149795532	0.004898390267044306	0.1353207677602768	0.05975080654025078	0.0109667694196105	0.08405274897813797	0.016467852517962456	0.11000991612672806	0.5785328149795532
G000024665	7	7.0	0.253610223531723	0.06683430820703506	0.1760634481906891	0.10527586191892624	0.015116513706743717	0.07808663696050644	0.06909406185150146	0.2359188199043274	0.253610223531723
